model,threshold,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,mcc,kappa,brier,ece,cost,tn,fp,fn,tp
Logistic Regression,0.5,0.6444858073522569,0.42857142857142855,0.015789473684210527,0.9884809215262779,0.030456852791878174,0.5299742336402561,0.376586888992941,0.01800431648292356,0.005461422344340883,0.22992020749442815,0.02886549604301109,3756.0,1373,16,748,12
SVM (RBF),0.5,0.6463471382038157,0.0,0.0,1.0,0.0,0.47538933727407073,0.34359352414573496,0.0,0.0,0.22920007917565052,0.008790732401791906,3800.0,1389,0,760,0
KNN (k=5),0.5,0.5956258724988367,0.39250493096646943,0.2618421052631579,0.7782577393808495,0.31412786108918705,0.5161584441665719,0.3654648573632624,0.045155437355546765,0.04336874911315425,0.26901814797580276,0.17189390414146113,3113.0,1081,308,561,199
Gaussian NB,0.5,0.6207538389948813,0.3671497584541063,0.1,0.9056875449964003,0.15718717683557393,0.5251013603122276,0.36926227555649704,0.009216647526983961,0.006809406371513171,0.23724564550813032,0.06743526825702362,3551.0,1258,131,684,76
Decision Tree,0.5,0.5374592833876222,0.3541147132169576,0.3736842105263158,0.6270698344132469,0.36363636363636365,0.5003770224697814,0.3538254483797364,0.0007453910378172572,0.0007447263364609435,0.46254071661237783,0.4625407166123779,2898.0,871,518,476,284
Random Forest,0.5,0.6435551419264774,0.45161290322580644,0.03684210526315789,0.9755219582433405,0.0681265206812652,0.5058182713803949,0.37017802239153147,0.035315233071150705,0.015610218162725675,0.23208113851403755,0.05402047463936718,3694.0,1355,34,732,28
Extra Trees,0.5,0.6402978129362494,0.42857142857142855,0.05131578947368421,0.9625629949604032,0.09165687426556991,0.4984554393543253,0.36114878525080335,0.03295080036726832,0.017333548656919162,0.23378025438188305,0.063032418178998,3657.0,1337,52,721,39
AdaBoost,0.5,0.6300604932526757,0.2463768115942029,0.02236842105263158,0.9625629949604032,0.04101326899879373,0.503682126482513,0.34653430603826413,-0.04086713093028186,-0.01897484315366249,0.23881409260320144,0.0974238967164902,3767.0,1337,52,743,17
Gradient Boosting,0.5,0.6226151698464402,0.34911242603550297,0.07763157894736843,0.9208063354931606,0.12701829924650163,0.48996722367473755,0.34513373414506443,-0.002774513160690871,-0.0018959024248350609,0.24019723823861502,0.08268009607900546,3615.0,1279,110,701,59
Hist. Gradient Boosting,0.5,0.5821312238250349,0.32663316582914576,0.17105263157894737,0.8070554355651548,0.22452504317789293,0.49379049676025916,0.3527024821709764,-0.026943711360932147,-0.024538352989145196,0.27066503373677403,0.17698714069758825,3418.0,1121,268,630,130
MLP (64-32),0.5,0.5486272684969753,0.3561643835616438,0.34210526315789475,0.6616270698344132,0.348993288590604,0.5093857754537532,0.36492835805534685,0.0037677812019515605,0.003765992324639922,0.4002821474767726,0.38875373085739,2970.0,919,470,500,260
