threshold,cost
0.01,1357.0
0.015,1282.0
0.02,1206.0
0.025,1133.0
0.03,1027.0
0.035,843.0
0.04,685.0
0.045000000000000005,560.0
0.05,498.0
0.055,453.0
0.060000000000000005,427.0
0.065,416.0
0.06999999999999999,401.0
0.075,395.0
0.08,389.0
0.08499999999999999,381.0
0.09,382.0
0.095,375.0
0.09999999999999999,369.0
0.105,368.0
0.11,366.0
0.11499999999999999,364.0
0.12,366.0
0.125,365.0
0.13,364.0
0.135,363.0
0.14,363.0
0.14500000000000002,363.0
0.15000000000000002,361.0
0.155,360.0
0.16,359.0
0.165,359.0
0.17,359.0
0.17500000000000002,359.0
0.18000000000000002,357.0
0.18500000000000003,357.0
0.19,356.0
0.195,354.0
0.2,354.0
0.20500000000000002,354.0
0.21000000000000002,353.0
0.21500000000000002,353.0
0.22,353.0
0.225,351.0
0.23,351.0
0.23500000000000001,351.0
0.24000000000000002,350.0
0.24500000000000002,350.0
0.25,350.0
0.255,350.0
0.26,350.0
0.265,350.0
0.27,349.0
0.275,349.0
0.28,348.0
0.28500000000000003,347.0
0.29000000000000004,347.0
0.29500000000000004,347.0
0.3,347.0
0.305,346.0
0.31,346.0
0.315,346.0
0.32,346.0
0.325,344.0
0.33,344.0
0.335,344.0
0.34,344.0
0.34500000000000003,343.0
0.35000000000000003,343.0
0.35500000000000004,343.0
0.36000000000000004,342.0
0.365,340.0
0.37,340.0
0.375,340.0
0.38,339.0
0.385,338.0
0.39,338.0
0.395,342.0
0.4,342.0
0.405,342.0
0.41000000000000003,342.0
0.41500000000000004,341.0
0.42000000000000004,341.0
0.42500000000000004,341.0
0.43,341.0
0.435,341.0
0.44,341.0
0.445,341.0
0.45,341.0
0.455,341.0
0.46,341.0
0.465,339.0
0.47000000000000003,339.0
0.47500000000000003,339.0
0.48000000000000004,339.0
0.48500000000000004,339.0
0.49,339.0
0.495,339.0
0.5,338.0
0.505,338.0
0.51,343.0
0.515,342.0
0.52,342.0
0.525,347.0
0.53,347.0
0.535,347.0
0.54,347.0
0.545,347.0
0.55,347.0
0.555,352.0
0.56,351.0
0.5650000000000001,351.0
0.5700000000000001,350.0
0.5750000000000001,350.0
0.5800000000000001,350.0
0.5850000000000001,350.0
0.59,354.0
0.595,354.0
0.6,354.0
0.605,354.0
0.61,354.0
0.615,354.0
0.62,359.0
0.625,359.0
0.63,364.0
0.635,369.0
0.64,368.0
0.645,373.0
0.65,372.0
0.655,372.0
0.66,372.0
0.665,377.0
0.67,377.0
0.675,377.0
0.68,392.0
0.685,392.0
0.6900000000000001,391.0
0.6950000000000001,391.0
0.7000000000000001,391.0
0.7050000000000001,401.0
0.7100000000000001,401.0
0.715,406.0
0.72,406.0
0.725,411.0
0.73,411.0
0.735,411.0
0.74,411.0
0.745,416.0
0.75,421.0
0.755,421.0
0.76,431.0
0.765,450.0
0.77,455.0
0.775,455.0
0.78,475.0
0.785,479.0
0.79,484.0
0.795,494.0
0.8,493.0
0.805,498.0
0.81,503.0
0.8150000000000001,502.0
0.8200000000000001,501.0
0.8250000000000001,506.0
0.8300000000000001,511.0
0.8350000000000001,511.0
0.8400000000000001,521.0
0.845,526.0
0.85,546.0
0.855,556.0
0.86,576.0
0.865,576.0
0.87,591.0
0.875,595.0
0.88,610.0
0.885,615.0
0.89,633.0
0.895,658.0
0.9,692.0
0.905,720.0
0.91,755.0
0.915,799.0
0.92,859.0
0.925,939.0
0.93,1028.0
0.935,1130.0
0.9400000000000001,1346.0
0.9450000000000001,1594.0
0.9500000000000001,1785.0
0.9550000000000001,2069.0
0.9600000000000001,2383.0
0.9650000000000001,2512.0
0.97,2632.0
0.975,2821.0
0.98,2936.0
0.985,3114.0
0.99,3357.0
