model,auc_full,auc_screening,delta
Logistic Regression,0.8971192830889319,0.5299742336402561,0.36714504944867576
SVM (RBF),0.9013498920086395,0.47538933727407073,0.42596055473456873
KNN (k=5),0.7580581448220984,0.5161584441665719,0.24189970065552657
Gaussian NB,0.8761111742639536,0.5251013603122276,0.3510098139517259
Decision Tree,0.8974934636808003,0.5003770224697814,0.39711644121101886
Random Forest,0.950703364783449,0.5058182713803949,0.44488509340305404
Extra Trees,0.9307960100034104,0.4984554393543253,0.4323405706490851
AdaBoost,0.943775340078057,0.503682126482513,0.440093213595544
Gradient Boosting,0.9496959190633171,0.48996722367473755,0.4597286953885795
Hist. Gradient Boosting,0.9524629608578683,0.49379049676025916,0.45867246409760914
MLP (64-32),0.8806989125080519,0.5093857754537532,0.3713131370542987
PROVA-AD (ours),0.9507388882573605,0.5106797771967716,0.4400591110605889
