feature,importance,std,stream
FunctionalAssessment,0.17401065467215815,0.016390375533929115,clinical
ADL,0.14347160121038643,0.024457107802897914,clinical
MMSE,0.11212760933187706,0.017342351301835188,clinical
MemoryComplaints,0.10337026028047026,0.015818778979731395,clinical
BehavioralProblems,0.0729641367658296,0.009214201656865447,clinical
DietQuality,0.0015002020804029497,0.002129773156556329,screening
CardiovascularDisease,0.0012557747835552598,0.0016411431889648337,screening
Age,0.0011324875117956286,0.0013949282628366463,screening
CholesterolTriglycerides,0.0009498861104921596,0.00102727726236834,screening
BMI,0.0009361141145984926,0.0016795673890907155,screening
Diabetes,0.0006729482460013406,0.000999942113922092,screening
CholesterolHDL,0.0005601010356449443,0.0026868138192492016,screening
Smoking,0.0003396636671282316,0.0017195755128934472,screening
SystolicBP,0.0002726433711476665,0.002397932138359652,screening
Ethnicity,0.00023517192326324063,0.0007757322712295471,screening
Gender,0.0002304559544460479,0.0013058296318754442,screening
Hypertension,0.00019346863379522035,0.0023828831534746073,screening
AlcoholConsumption,0.00014627477193620563,0.0017693631799079977,screening
Confusion,8.484756940790502e-05,0.0007993007399303403,clinical
Forgetfulness,7.609910551515941e-05,0.0006928652919610603,clinical
DifficultyCompletingTasks,2.0378908729375606e-05,0.00036258981439268,clinical
DiastolicBP,-2.278245805401961e-06,0.0013511217995627405,screening
CholesterolLDL,-4.377649315092658e-05,0.0023294756784096944,screening
Disorientation,-9.850565301129747e-05,0.000708407714508515,clinical
Depression,-0.0002554995714619516,0.001029881298626837,screening
EducationLevel,-0.0002820411350949866,0.001430570880824244,screening
FamilyHistoryAlzheimers,-0.0002981483329392187,0.0015028259709085434,screening
PersonalityChanges,-0.00044515214353313404,0.0006592753679231727,clinical
HeadInjury,-0.0006712281704182402,0.0009067940825533601,screening
PhysicalActivity,-0.000699518287706898,0.0020582289051104454,screening
CholesterolTotal,-0.0009570170198631341,0.0020610705373107236,screening
SleepQuality,-0.0021878620986926834,0.004067348028622593,screening
