model,threshold,accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,mcc,kappa,brier,ece,cost,tn,fp,fn,tp
Logistic Regression,0.5,0.8334108887854816,0.7855113636363636,0.7276315789473684,0.8912886969042476,0.755464480874317,0.8971192830889319,0.8386520887450756,0.6304815414872713,0.6294213643562601,0.11875505164255516,0.027931814491431495,1186.0,1238,151,207,553
SVM (RBF),0.5,0.8445788738948348,0.7958333333333333,0.7539473684210526,0.8941684665226782,0.7743243243243243,0.9013498920086395,0.8451549293854012,0.6564901114189969,0.6559325446283051,0.1154712064472075,0.029161853199404047,1082.0,1242,147,187,573
KNN (k=5),0.5,0.7254536993950674,0.6609848484848485,0.45921052631578946,0.871130309575234,0.5419254658385093,0.7580581448220984,0.5958592775637384,0.3668695894406987,0.354868746158449,0.18527687296416942,0.04281060958585384,2234.0,1210,179,411,349
Gaussian NB,0.5,0.7975802698929735,0.7272727272727273,0.6842105263157895,0.8596112311015118,0.7050847457627119,0.8761111742639536,0.792076183242675,0.551806613730861,0.5512116083966442,0.13627731096362877,0.05361078138224424,1395.0,1194,195,240,520
Decision Tree,0.5,0.9060027919962773,0.8661417322834646,0.868421052631579,0.9265658747300216,0.8672798948751642,0.8974934636808003,0.7987089861667171,0.7945151631681937,0.7945135188100758,0.09399720800372266,0.09399720800372266,602.0,1287,102,100,660
Random Forest,0.5,0.9427640763145649,0.9479606188466948,0.8868421052631579,0.9733621310295176,0.9163834126444595,0.950703364783449,0.9293167452624488,0.8740680640311539,0.872947748549719,0.08111424435137791,0.1599596711648829,467.0,1352,37,86,674
Extra Trees,0.5,0.8720335039553281,0.886762360446571,0.7315789473684211,0.9488840892728582,0.8017303532804614,0.9307960100034104,0.892775128285219,0.7156840876043844,0.7085380270395434,0.12180388811333437,0.168096789204281,1091.0,1318,71,204,556
AdaBoost,0.5,0.9218241042345277,0.8894736842105263,0.8894736842105263,0.9395248380129589,0.8894736842105263,0.943775340078057,0.919349185510644,0.8289985222234852,0.8289985222234852,0.2062009949585522,0.2406221746779306,504.0,1305,84,84,676
Gradient Boosting,0.5,0.9488134015821312,0.935656836461126,0.9184210526315789,0.9654427645788337,0.9269588313413014,0.9496959190633171,0.9370570807461293,0.8876566791939935,0.8875657915389203,0.05328902183735667,0.054152278061961774,358.0,1341,48,62,698
Hist. Gradient Boosting,0.5,0.9511400651465798,0.9455782312925171,0.9144736842105263,0.9712023038156947,0.9297658862876255,0.9524629608578683,0.938493450476214,0.8926154820182178,0.8923220817396823,0.045586442247765945,0.03432999094524688,365.0,1349,40,65,695
MLP (64-32),0.5,0.818054909260121,0.7496617050067659,0.7289473684210527,0.8668106551475881,0.7391594396264176,0.8806989125080519,0.8238673392814262,0.5996475222995346,0.5995087868809016,0.15687022500170605,0.14380309367547417,1215.0,1204,185,206,554
PROVA-AD (ours),0.5,0.9502093997208003,0.9347536617842876,0.9236842105263158,0.9647228221742261,0.9291859695565851,0.9507341517941722,0.9285859582059213,0.8908331147569364,0.8907955332849865,0.04713517938316691,0.014827382701177776,339.0,1340,49,58,702
