feature,r,abs_r,stream
FunctionalAssessment,-0.364898306576916,0.364898306576916,clinical
ADL,-0.3323459162547802,0.3323459162547802,clinical
MemoryComplaints,0.3067423937056217,0.3067423937056217,clinical
MMSE,-0.23712560707352165,0.23712560707352165,clinical
BehavioralProblems,0.2243504008477905,0.2243504008477905,clinical
SleepQuality,-0.05654808600710908,0.05654808600710908,screening
EducationLevel,-0.04396584958332211,0.04396584958332211,screening
CholesterolHDL,0.04258404132800157,0.04258404132800157,screening
Hypertension,0.035080034381926736,0.035080034381926736,screening
FamilyHistoryAlzheimers,-0.0328997475227474,0.0328997475227474,screening
CholesterolLDL,-0.031975825942931635,0.031975825942931635,screening
Diabetes,-0.03150760415649048,0.03150760415649048,screening
CardiovascularDisease,0.03149024640849257,0.03149024640849257,screening
BMI,0.026342813028880065,0.026342813028880065,screening
Disorientation,-0.02464815693348869,0.02464815693348869,clinical
CholesterolTriglycerides,0.022671877013684272,0.022671877013684272,screening
HeadInjury,-0.021411425744208484,0.021411425744208484,screening
Gender,-0.020974710260949082,0.020974710260949082,screening
PersonalityChanges,-0.020627462537192325,0.020627462537192325,clinical
Confusion,-0.0191857196757501,0.0191857196757501,clinical
SystolicBP,-0.01561523133161832,0.01561523133161832,screening
Ethnicity,-0.014782295369350211,0.014782295369350211,screening
DifficultyCompletingTasks,0.009068581809868099,0.009068581809868099,clinical
DietQuality,0.008505771333395045,0.008505771333395045,screening
AlcoholConsumption,-0.00761796844511419,0.00761796844511419,screening
CholesterolTotal,0.006394462983846519,0.006394462983846519,screening
PhysicalActivity,0.0059450424530866205,0.0059450424530866205,screening
Depression,-0.00589290703001,0.00589290703001,screening
Age,-0.005488377592358055,0.005488377592358055,screening
DiastolicBP,0.005292679802598795,0.005292679802598795,screening
Smoking,-0.004865235195237168,0.004865235195237168,screening
Forgetfulness,-0.00035428982556072214,0.00035428982556072214,clinical
